title	datasetIdentifier	disease	authors	created	modified	curated	landingPage	accessPage	format	conformsTo	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
Maryland Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/24/diags/us_diags_24.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/24/	null	SPEW.US format	Maryland	1587	US-MD	null	null
Massachusetts Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/25/diags/us_diags_25.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/25/	null	SPEW.US format	Massachusetts	1609	US-MA	null	null
Michigan Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/26/diags/us_diags_26.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/26/	null	SPEW.US format	Michigan	1619	US-MI	null	null
Minnesota Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/27/diags/us_diags_27.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/27/	null	SPEW.US format	Minnesota	1588	US-MN	null	null
Mississippi Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/28/diags/us_diags_28.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/28/	null	SPEW.US format	Mississippi	1620	US-MS	null	null
Missouri Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/29/diags/us_diags_29.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/29/	null	SPEW.US format	Missouri	1589	US-MO	null	null
Montana Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/30/diags/us_diags_30.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/30/	null	SPEW.US format	Montana	1590	US-MT	null	null
Nebraska Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/31/diags/us_diags_31.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/31/	null	SPEW.US format	Nebraska	1621	US-NE	null	null
Nevada Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/32/diags/us_diags_32.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/32/	null	SPEW.US format	Nevada	1591	US-NV	null	null
New Hampshire Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/33/diags/us_diags_33.html	http://data.olympus.psc.edu/syneco/spew_1.2.0/americas/northern_america/usa/33/	null	SPEW.US format	New Hampshire	1605	US-NH	null	null
