title	description	dataset_identifier	disease	authors	created	modified	accessed	landing_page	access_page	format	conforms_to	license	geography	apollo_location_code	iso_3166	iso_3166_1	iso_3166_1_alpha_3	apollo_enabled	on_olympus	population_required	iri
Mozambique Synthetic Ecosystem	Mozambique synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574071	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000094	https://zenodo.org/record/574071/files/moz.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Mozambique	4953	MZ	508	MOZ	FALSE	TRUE	humans in region of Mozambique	http://www.pitt.edu/obc/IDE_0000000962
Nebraska Synthetic Ecosystem	"Nebraska synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.574005	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000028	https://zenodo.org/record/574005/files/31.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Nebraska	1621	US-NE	null	null	FALSE	TRUE	humans in region of Nebraska	http://www.pitt.edu/obc/IDE_0000001119
Netherlands Synthetic Ecosystem	Netherlands synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574076	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000099	https://zenodo.org/record/574076/files/nld.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Netherlands	5197	NL	528	NLD	FALSE	TRUE	humans in region of Netherlands	http://www.pitt.edu/obc/IDE_0000000850
Nevada Synthetic Ecosystem	"Nevada synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.574006	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000029	https://zenodo.org/record/574006/files/32.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Nevada	1591	US-NV	null	null	FALSE	TRUE	humans in region of Nevada	http://www.pitt.edu/obc/IDE_0000001106
New Hampshire Synthetic Ecosystem	"New Hampshire synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.574007	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000030	https://zenodo.org/record/574007/files/33.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	New Hampshire	1605	US-NH	null	null	FALSE	TRUE	humans in region of New Hampshire	http://www.pitt.edu/obc/IDE_0000001132
New Jersey Synthetic Ecosystem	"New Jersey synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.574008	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000031	https://zenodo.org/record/574008/files/34.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	New Jersey	1592	US-NJ	null	null	FALSE	TRUE	humans in region of New Jersey	http://www.pitt.edu/obc/IDE_0000001097
New Mexico Synthetic Ecosystem	"New Mexico synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.574009	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000032	https://zenodo.org/record/574009/files/35.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	New Mexico	1622	US-NM	null	null	FALSE	TRUE	humans in region of New Mexico	http://www.pitt.edu/obc/IDE_0000001108
New York Synthetic Ecosystem	"New York synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.574010	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000033	https://zenodo.org/record/574010/files/36.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	New York	1623	US-NY	null	null	FALSE	TRUE	humans in region of New York	http://www.pitt.edu/obc/IDE_0000001099
Nicaragua Synthetic Ecosystem	Nicaragua synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574075	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000098	https://zenodo.org/record/574075/files/nic.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Nicaragua	5070	NI	558	NIC	FALSE	TRUE	humans in region of Nicaragua	http://www.pitt.edu/obc/IDE_0000000806
Nigeria Synthetic Ecosystem	Nigeria synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574074	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000097	https://zenodo.org/record/574074/files/nga.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Nigeria	318	NG	566	NGA	FALSE	TRUE	humans in region of Nigeria	http://www.pitt.edu/obc/IDE_0000000073
North Carolina Synthetic Ecosystem	"North Carolina synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.574011	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000034	https://zenodo.org/record/574011/files/37.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	North Carolina	1631	US-NC	null	null	FALSE	TRUE	humans in region of North Carolina	http://www.pitt.edu/obc/IDE_0000001126
North Dakota Synthetic Ecosystem	"North Dakota synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.574012	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000035	https://zenodo.org/record/574012/files/38.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	North Dakota	1593	US-ND	null	null	FALSE	TRUE	humans in region of North Dakota	http://www.pitt.edu/obc/IDE_0000001101
Ohio Synthetic Ecosystem	"Ohio synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.574013	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000036	https://zenodo.org/record/574013/files/39.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Ohio	1594	US-OH	null	null	FALSE	TRUE	humans in region of Ohio	http://www.pitt.edu/obc/IDE_0000001127
Oklahoma Synthetic Ecosystem	"Oklahoma synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.574014	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000037	https://zenodo.org/record/574014/files/40.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Oklahoma	1595	US-OK	null	null	FALSE	TRUE	humans in region of Oklahoma	http://www.pitt.edu/obc/IDE_0000001107
Oregon Synthetic Ecosystem	"Oregon synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.574015	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000038	https://zenodo.org/record/574015/files/41.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Oregon	1624	US-OR	null	null	FALSE	TRUE	humans in region of Oregon	http://www.pitt.edu/obc/IDE_0000001141
Pakistan Synthetic Ecosystem	Pakistan synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574077	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000100	https://zenodo.org/record/574077/files/pak.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Pakistan	5085	PK	586	PAK	FALSE	TRUE	humans in region of Pakistan	http://www.pitt.edu/obc/IDE_0000000812
Panama Synthetic Ecosystem	Panama synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574078	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000101	https://zenodo.org/record/574078/files/pan.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Panama	5074	PA	591	PAN	FALSE	TRUE	humans in region of Panama	http://www.pitt.edu/obc/IDE_0000000840
Paraguay Synthetic Ecosystem	Paraguay synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574082	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000105	https://zenodo.org/record/574082/files/pry.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Paraguay	4979	PY	600	PRY	FALSE	TRUE	humans in region of Paraguay	http://www.pitt.edu/obc/IDE_0000000960
Pennsylvania Synthetic Ecosystem	"Pennsylvania synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces."	https://doi.org/10.5281/zenodo.574016	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000039	https://zenodo.org/record/574016/files/42.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0; MIDAS-ISG:spew-us-format-v1.2.0	null	Pennsylvania	1213	US-PA	null	null	FALSE	TRUE	humans in region of Pennsylvania	http://www.pitt.edu/obc/IDE_0000000112
Peru Synthetic Ecosystem	Peru synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574079	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000102	https://zenodo.org/record/574079/files/per.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Peru	5141	PE	604	PER	FALSE	TRUE	humans in region of Peru	http://www.pitt.edu/obc/IDE_0000000854
Philippines Synthetic Ecosystem	Philippines synthetic ecosystem dataset consisting of tables for persons and households. This dataset was created by the SPEW R Package using the following input data sources: GeoHive counts and IPUMS-I shapefiles and microdata.	https://doi.org/10.5281/zenodo.574080	null	Lee Richardson; Shannon Gallagher; Samuel Ventura; Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000103	https://zenodo.org/record/574080/files/phl.tar.gz	null	SPEW.IPUMS format; SPEW.IPUMS format	null	Philippines	5163	PH	608	PHL	FALSE	TRUE	humans in region of Philippines	http://www.pitt.edu/obc/IDE_0000000933
