title	datasetIdentifier	disease	authors	created	modified	curated	accessed	landingPage	accessPage	format	conformsTo	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
Wisconsin Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000050	https://zenodo.org/api/files/c249409f-5c98-43f5-8e62-8ca6d242701d/55.tar.gz	null	SPEW.US format	Wisconsin	1628	US-WI	null	null
Wyoming Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000051	https://zenodo.org/api/files/0e6c5e55-f5ae-4c32-8590-3d862444e318/56.tar.gz	null	SPEW.US format	Wyoming	1602	US-WY	null	null
Argentina Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000052	https://zenodo.org/api/files/c4646bac-da6b-4dee-b5b7-7fb2ec79067c/arg.tar.gz	null	SPEW.IPUMS format	Argentina	4977	AR	null	ARG
Armenia Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000053	https://zenodo.org/api/files/0bf15135-1fbd-479c-b426-6777ecafa7b9/arm.tar.gz	null	SPEW.IPUMS format	Armenia	4985	AM	null	ARM
Austria Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000054	https://zenodo.org/api/files/c918e60a-1c80-4587-a20a-08ba440b7ecc/aut.tar.gz	null	SPEW.IPUMS format	Austria	4964	AT	null	AUT
Burkina Faso Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000055	https://zenodo.org/api/files/54e7aaf2-503e-45e2-8add-b11d2f75f3be/bfa.tar.gz	null	SPEW.IPUMS format	Burkina Faso	5050	BF	null	BFA
Bangladesh Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000056	https://zenodo.org/api/files/edfe56f1-29e7-4200-8d8e-1e47a4bee84d/bgd.tar.gz	null	SPEW.IPUMS format	Bangladesh	5039	BD	null	BGD
Belarus Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000057	https://zenodo.org/api/files/2cdfc599-68b2-417a-96b1-d380d6323d8e/blr.tar.gz	null	SPEW.IPUMS format	Belarus	4972	BY	null	BLR
Bolivia Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000058	https://zenodo.org/api/files/f4d2b48f-8272-4737-ad95-ef5eba0b3fb6/bol.tar.gz	null	SPEW.IPUMS format	Bolivia	4963	BO	null	BOL
Brazil Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000059	https://zenodo.org/api/files/c2196129-24f0-4f22-83c3-308118c612a2/bra.tar.gz	null	SPEW.IPUMS format	Brazil	5000	BR	null	BRA
Canada Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000060	https://zenodo.org/api/files/5e04c50f-dd36-4548-b12d-7a2d1173c2e2/can.tar.gz	null	SPEW.CANADA format	Canada	5091	CA	null	CAN
Switzerland Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000061	https://zenodo.org/api/files/3e4a243f-c90b-489a-97bd-fe547217006e/che.tar.gz	null	SPEW.IPUMS format	Switzerland	5176	CH	null	CHE
Chile Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000062	https://zenodo.org/api/files/64881eeb-6e20-4d21-bba7-e6f2e1275a1a/chl.tar.gz	null	SPEW.IPUMS format	Chile	4956	CL	null	CHL
China Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000063	https://zenodo.org/api/files/a012d99c-d2cd-425c-a7d5-80194033d0a8/chn.tar.gz	null	SPEW.IPUMS format	China	5043	CN	null	CHN
Cameroon Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000064	https://zenodo.org/api/files/fd6c2bea-0fd1-446f-911a-16ac7a8f5443/cmr.tar.gz	null	SPEW.IPUMS format	Cameroon	4990	CM	null	CMR
Colombia Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000065	https://zenodo.org/api/files/c12eae67-bf24-4242-a460-0eb4086509b9/col.tar.gz	null	SPEW.IPUMS format	Colombia	5076	CO	null	COL
Costa Rica Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000066	https://zenodo.org/api/files/d0a8bb9d-355f-42ae-8671-596ba96faeb2/cri.tar.gz	null	SPEW.IPUMS format	Costa Rica	5032	CR	null	CRI
Cuba Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000067	https://zenodo.org/api/files/55f60120-dc25-4ac1-8bd6-8414c4302b9a/cub.tar.gz	null	SPEW.IPUMS format	Cuba	5183	CU	null	CUB
Germany Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000068	https://zenodo.org/api/files/1d6dcfeb-b784-4677-8139-840c7bb88b97/deu.tar.gz	null	SPEW.IPUMS format	Germany	5029	DE	null	DEU
Dominican Republic Synthetic Ecosystem	null	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	null	http://w3id.org/spew/0000069	https://zenodo.org/api/files/2d80fc8a-6dc6-4461-bf20-83d9d24f67d1/dom.tar.gz	null	SPEW.IPUMS format	Dominican Republic	5120	DO	null	DOM
