title	description	datasetIdentifier	disease	authors	created	modified	accessed	landingPage	accessPage	format	conformsTo	license	geography	apolloLocationCode	ISO_3166	ISO_3166-1	ISO_3166-1_alpha-3
New York Synthetic Ecosystem	New York synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574010	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000033	https://zenodo.org/record/574010/files/36.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	New York		US-NY	null	null
North Carolina Synthetic Ecosystem	North Carolina synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574011	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000034	https://zenodo.org/record/574011/files/37.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	North Carolina		US-NC	null	null
North Dakota Synthetic Ecosystem	North Dakota synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574012	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000035	https://zenodo.org/record/574012/files/38.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	North Dakota		US-ND	null	null
Ohio Synthetic Ecosystem	Ohio synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574013	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000036	https://zenodo.org/record/574013/files/39.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Ohio		US-OH	null	null
Oklahoma Synthetic Ecosystem	Oklahoma synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574014	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000037	https://zenodo.org/record/574014/files/40.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Oklahoma		US-OK	null	null
Oregon Synthetic Ecosystem	Oregon synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574015	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000038	https://zenodo.org/record/574015/files/41.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Oregon		US-OR	null	null
Pennsylvania Synthetic Ecosystem	Pennsylvania synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574016	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000039	https://zenodo.org/record/574016/files/42.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Pennsylvania		US-PA	null	null
Rhode Island Synthetic Ecosystem	Rhode Island synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574017	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000040	https://zenodo.org/record/574017/files/44.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Rhode Island		US-RI	null	null
South Carolina Synthetic Ecosystem	South Carolina synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574018	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000041	https://zenodo.org/record/574018/files/45.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	South Carolina		US-SC	null	null
South Dakota Synthetic Ecosystem	South Dakota synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574019	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000042	https://zenodo.org/record/574019/files/46.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	South Dakota		US-SD	null	null
Tennessee Synthetic Ecosystem	Tennessee synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574020	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000043	https://zenodo.org/record/574020/files/47.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Tennessee		US-TN	null	null
Texas Synthetic Ecosystem	Texas synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574021	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000044	https://zenodo.org/record/574021/files/48.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Texas		US-TX	null	null
Utah Synthetic Ecosystem	Utah synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574022	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000045	https://zenodo.org/record/574022/files/49.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Utah		US-UT	null	null
Vermont Synthetic Ecosystem	Vermont synthetic population dataset consisting of tables for persons, households, schools, and workplaces.  This dataset was created by the SPEW program from 2010 ACS SF 5-Year counts;  2010 US TIGER Roads; ACS PUMS 1-Year micro data; 2013 and 2011 NCES schools; and 2009 ESRI workplaces.	https://doi.org/10.5281/zenodo.574023	null	Lee Richardson, Shannon Gallagher, Samuel Ventura, Bill Eddy	2016-11-05	null	null	http://w3id.org/spew/0000046	https://zenodo.org/record/574023/files/50.tar.gz	null	MIDAS-ISG:spew-us-format-v1.2.0	null	Vermont		US-VT	null	null
